user_id,avg_toxicity,review_count,total_toxic_reviews,negative_ratio,positive_ratio,neutral_ratio,toxicity_frequency,activity_level,cluster,cluster_label
1925,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
3039,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
4861,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
6272,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
18176,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
28280,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
35641,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
38497,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
49538,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
51225,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
61089,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
75839,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
109977,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
146563,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
174262,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
178807,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
181291,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
185090,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
197298,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
199726,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
200904,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
237912,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
244910,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
245193,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
256713,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
260629,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
262095,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
277976,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
291334,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
300424,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
302848,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
312755,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
315742,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
318857,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
326099,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
338248,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
339957,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
348639,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
353352,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
353706,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
355308,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
380846,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
391620,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
399359,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
413440,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
415207,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
448625,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
449994,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
467262,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
471838,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
473836,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
478810,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
482422,0.0,1,0,0.0,0.0,1.0,0.0,Low,0,Low Risk - Low Activity
483969,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
485794,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
534446,0.0,1,0,0.0,1.0,0.0,0.0,Low,0,Low Risk - Low Activity
