Endpoint,Field Path,Field Name,Data Type,Description,Example Value
agents_manager,data.affected_items[].os.arch,arch,string,System architecture,"x86_64, arm64"
agents_manager,data.affected_items[].os.major,major,string,OS major version,10
agents_manager,data.affected_items[].os.name,name,string,Operating system name,Microsoft Windows 11 Home Single Language
agents_manager,data.affected_items[].os.platform,platform,string,OS platform,"amzn, windows, darwin"
agents_manager,data.affected_items[].os.uname,uname,string,Full uname output,Linux |wazuh.manager |6.8.0-85-generic
agents_manager,data.affected_items[].os.version,version,string,OS version,10.0.26200.7623
agents_manager,data.affected_items[].os.build,build,string,Windows build number (optional),26200.7623
agents_manager,data.affected_items[].os.minor,minor,string,OS minor version (optional),0
agents_manager,data.affected_items[].os.codename,codename,string,OS codename (optional),Unknown
agents_manager,data.affected_items[].name,name,string,Agent hostname,vishnu
agents_manager,data.affected_items[].ip,ip,string,Agent IP address,192.168.0.2
agents_manager,data.affected_items[].dateAdd,dateAdd,string,Date agent was added (ISO 8601),2026-01-29T09:26:47+00:00
agents_manager,data.affected_items[].id,id,string,Agent ID,"000, 001, 002"
agents_manager,data.affected_items[].manager,manager,string,Manager hostname,wazuh.manager
agents_manager,data.affected_items[].registerIP,registerIP,string,Registration IP,any
agents_manager,data.affected_items[].lastKeepAlive,lastKeepAlive,string,Last keep alive timestamp (ISO 8601),2026-02-10T12:52:56+00:00
agents_manager,data.affected_items[].group_config_status,group_config_status,string,Group configuration status,synced
agents_manager,data.affected_items[].status_code,status_code,integer,Status code,4
agents_manager,data.affected_items[].node_name,node_name,string,Node name,node01
agents_manager,data.affected_items[].version,version,string,Wazuh version,Wazuh v4.14.2
agents_manager,data.affected_items[].status,status,string,Agent status,"active, disconnected"
agents_manager,data.affected_items[].group,group,array,Agent groups (optional),default
agents_manager,data.affected_items[].configSum,configSum,string,Config checksum (optional),ab73af41699f13fdd81903b5f23d8d00
agents_manager,data.affected_items[].mergedSum,mergedSum,string,Merged config checksum (optional),e15cd0c9f7dec03be7b82012b99d73bf
agents_manager,data.affected_items[].disconnection_time,disconnection_time,string,Disconnection time (optional ISO 8601),2026-02-10T13:12:46+00:00
agents_manager,data.total_affected_items,total_affected_items,integer,Total number of items returned,5
agents_manager,data.total_failed_items,total_failed_items,integer,Total number of failed items,0
